AreaKey,ID,X,Y,Latitude,Longitud,TotPop90,PctRural,PctEld,PctFB,PctPov,PctBlack,Degree
13001,133,941396.60,3521764.00,31.753389,-82.28558,15744,75.6,11.43,0.635,19.9,20.76,0
13003,158,895553.00,3471916.00,31.294857,-82.874736,6213,100,11.77,1.577,26,26.86,0
13005,146,930946.40,3502787.00,31.556775,-82.451152,9566,61.7,11.11,0.272,24.1,15.42,0
13007,155,745398.60,3474765.00,31.330837,-84.454013,3615,100,13.17,0.111,24.8,51.67,0
13009,79,849431.30,3665553.00,33.071932,-83.250851,39530,42.7,8.64,1.432,17.5,42.39,1
13011,23,819317.30,3807616.00,34.352696,-83.500539,10308,100,11.37,0.34,15.1,3.49,0
13013,33,803747.10,3769623.00,33.993471,-83.711811,29721,64.6,10.63,0.922,14.7,11.44,0
13015,24,699011.50,3793408.00,34.238402,-84.839182,55911,75.2,9.66,0.816,10.7,9.21,0
13017,138,863020.80,3520432.00,31.759395,-83.219755,16245,47,12.81,0.332,22,31.33,0
13019,153,859915.80,3466377.00,31.274242,-83.23179,14153,66.2,11.98,1.194,19.3,11.62,0
13021,85,809736.90,3636468.00,32.80451,-83.699153,149967,16.1,12.23,1.055,19.2,41.68,1
13023,100,844270.10,3595691.00,32.435521,-83.331211,10430,57.9,12.6,0.642,18.3,22.36,0
13025,159,979288.90,3463849.00,31.197017,-81.983226,11077,100,9.02,0.334,18.2,4.58,0
13027,169,827822.00,3421638.00,30.846525,-83.577257,15398,65.6,13.68,1.76,25.9,41.47,0
13029,118,1023145.00,3554982.00,32.020373,-81.43763,15438,80.6,7.22,0.453,13.2,14.85,1
13031,97,994903.40,3600493.00,32.390705,-81.743912,43125,63.2,9.56,1.162,27.5,25.95,1
13033,71,971593.80,3671394.00,33.058372,-81.999393,20579,72.3,10.6,0.428,30.3,52.19,0
13035,65,782448.20,3684504.00,33.288338,-83.957134,15326,73.4,10.41,0.718,15.6,35.48,0
13037,149,724741.20,3492653.00,31.527925,-84.61891,5013,100,15.94,0.1,31.8,58.89,0
13039,165,1008480.00,3437933.00,30.918946,-81.637831,30167,47.1,4.78,2.135,11.5,20.19,1
13043,102,964264.90,3598842.00,32.401337,-82.074981,7744,52.1,13.8,0.956,24.1,30.94,0
13045,46,678778.60,3713250.00,33.58276,-85.079029,71422,68.5,9.66,0.85,14.4,15.46,1
13047,5,670055.90,3862318.00,34.902216,-85.136429,42464,43.6,10.73,0.386,12,0.91,0
13049,170,962612.30,3432769.00,30.778898,-82.139931,8496,100,9.66,0.424,18.3,27.05,0
13051,119,1059706.00,3556747.00,31.968396,-81.085242,216935,5.1,12.07,2.046,17.2,38.02,1
13053,103,704959.20,3577608.00,32.347545,-84.787802,16934,13.7,1.46,6.738,10.4,30.94,1
13055,17,653026.60,3813760.00,34.476634,-85.345765,22242,77.4,14.22,0.112,14.6,8.61,0
13057,25,734240.90,3794110.00,34.244526,-84.4743,90204,57.8,6.71,1.573,6.1,1.77,1
13059,38,832508.60,3762905.00,33.951967,-83.36602,87594,17.6,8.04,4.471,27,26.23,1
13061,144,695793.90,3495219.00,31.621085,-84.992951,3364,100,16.62,0.446,35.7,60.76,1
13063,54,745538.80,3711726.00,33.54255,-84.357031,182052,4.4,5.55,4.229,8.6,23.82,1
13065,164,908046.10,3428340.00,30.91758,-82.702842,6160,58.6,10.52,0.114,26.4,27.29,0
13067,36,724646.80,3757187.00,33.941761,-84.577005,447745,5.8,6.08,4.123,5.6,9.84,1
13069,143,894463.90,3492465.00,31.546929,-82.851471,29592,64.6,10.52,1.487,22.5,25.46,1
13071,161,808691.80,3455994.00,31.186498,-83.768332,36645,59.4,13.22,3.013,22.8,24.16,0
13073,52,942527.90,3722100.00,33.548579,-82.261233,66031,30.6,5.5,3.492,6.6,10.93,1
13075,160,839816.10,3449007.00,31.154784,-83.430769,13456,62,13.14,1.888,22.4,29.94,0
13077,62,705457.90,3694344.00,33.352613,-84.762598,53853,76.1,9.85,0.798,11.4,22.59,1
13079,89,783416.50,3623343.00,32.709817,-83.979679,8991,100,9.21,1.012,14,30.66,0
13081,128,805648.40,3537103.00,31.925397,-83.771586,20011,48.4,12.47,0.295,29,40.66,0
13083,9,635964.30,3854592.00,34.85462,-85.504714,13147,96.5,10.35,0.745,14.6,0.35,0
13085,16,764386.10,3812502.00,34.440009,-84.171192,9429,100,8.89,0.594,12.8,0.29,0
13087,166,732628.40,3421800.00,30.878764,-84.579633,25511,58,13.02,1.541,23.3,39.47,1
13089,41,759231.90,3735253.00,33.77095,-84.227007,545837,2.5,8.13,6.686,9.9,42.23,1
13091,109,860451.40,3569933.00,32.17328,-83.166242,17607,70.7,13.13,0.335,21.8,27.64,0
13093,116,800031.30,3564188.00,32.160916,-83.798374,9901,72.6,13.76,0.495,32.9,48.98,0
13095,148,764116.90,3494367.00,31.53832,-84.215784,96311,10,9.66,0.941,24.4,50.15,1
13097,47,707288.70,3731361.00,33.7003,-84.767287,71120,26.7,6.68,1.336,6.6,7.63,1
13099,152,703495.10,3467152.00,31.330419,-84.9092,11854,52.8,14.86,0.236,31.4,44.09,0
13101,173,896654.00,3401148.00,30.716702,-82.898962,2334,100,9.77,1.628,14.6,11.48,0
13103,99,1031899.00,3596117.00,32.370383,-81.34348,25687,89.1,7.87,0.693,12.7,14.03,0
13105,28,879541.20,3785425.00,34.114998,-82.839768,18949,70,13.78,0.844,19.7,29.99,0
13107,90,943066.20,3616602.00,32.586937,-82.304173,20546,64.2,13.32,0.414,25.7,32.58,0
13109,117,981727.80,3571315.00,32.158071,-81.890873,8724,100,13,0.481,25.4,33.88,0
13111,4,739255.80,3866604.00,34.864145,-84.319284,15992,100,17.3,0.575,17.2,0.03,0
13113,58,731468.70,3700612.00,33.414957,-84.492885,62415,53.9,6.99,2.847,2.6,5.13,1
13115,18,662257.40,3789664.00,34.2633,-85.215026,81251,36.1,13.84,1.089,13.6,13.56,1
13117,26,765397.30,3789005.00,34.223775,-84.126721,44083,93.7,8.38,1.168,6.8,0,1
13119,20,845701.30,3813323.00,34.373292,-83.22767,16650,87.2,14.59,0.444,16.5,9.89,0
13121,31,733728.40,3733248.00,33.7894,-84.467156,648951,4.2,9.63,4.126,18.4,49.92,1
13123,10,732702.30,3844809.00,34.68824,-84.457861,13368,100,12.91,0.449,16.6,0.26,0
13125,69,908386.80,3685752.00,33.23108,-82.606939,2357,100,13.28,0.424,16.8,12.69,0
13127,156,1023411.00,3471063.00,31.216954,-81.494234,62496,20.3,13.2,1.37,14.3,25.57,1
13129,15,695325.10,3822135.00,34.504226,-84.871583,35072,79.7,10.09,0.642,11.1,3.78,0
13131,167,765058.10,3421817.00,30.87507,-84.232937,20279,55.4,13.84,0.735,22.3,31.5,0
13133,49,855577.30,3722330.00,33.581246,-83.167565,11793,75.7,13.49,0.5,25.1,49.89,0
13135,32,772634.60,3764306.00,33.95895,-84.025104,352910,13.6,4.51,5.045,4,5.11,1
13137,11,818917.10,3839931.00,34.630446,-83.529331,27621,88.5,12.31,2.922,11.6,5.42,1
13139,21,794419.50,3803344.00,34.315842,-83.820888,95428,81.1,10.25,4.596,10.6,8.48,1
13141,64,873518.80,3689861.00,33.269582,-83.000842,8908,100,12.39,0.269,30.1,79.64,0
13143,44,665933.80,3740622.00,33.791007,-85.209002,21966,67.8,12.62,0.687,14.4,6.47,0
13145,88,695500.60,3624790.00,32.740744,-84.906073,17788,95.8,13,1.113,13.7,25.49,1
13147,22,870749.90,3810303.00,34.353352,-82.959161,19712,73.8,15.08,0.315,14.2,20.41,0
13149,66,675280.40,3685569.00,33.299664,-85.129214,8628,100,12.03,0.348,19.1,13.38,0
13151,55,763488.40,3699716.00,33.4561,-84.155399,58741,76,7.77,0.982,6.1,10.24,0
13153,95,814118.90,3590553.00,32.458332,-83.668346,89208,20.9,7.3,2.25,10.6,21.8,1
13155,145,855461.80,3506293.00,31.602342,-83.274287,8649,63.4,14.45,0.15,27.2,30.5,0
13157,27,815753.10,3783949.00,34.133324,-83.562739,30005,78,11.23,0.62,14.1,9.58,0
13159,61,807249.10,3695092.00,33.316303,-83.687344,8453,100,13.12,0.994,17.4,34.8,0
13161,131,915741.90,3530869.00,31.801589,-82.635986,12032,65.1,10.53,0.64,18.8,15.36,0
13163,70,924108.10,3668080.00,33.053978,-82.4153,17408,100,13.36,0.402,31.3,55.92,0
13165,84,970465.70,3640263.00,32.788661,-81.960423,8247,53.8,13.1,0.206,27.8,41.51,0
13167,91,908636.70,3624562.00,32.702215,-82.656169,8329,100,13.86,0.288,22.2,33.89,0
