Munic_pio,uf,nome,codigo,REGIAO,total,utiliza,distm,FPM,valorPNATE,y,x
Alta Floresta D'Oeste,RO,ALTAFLORESTADOESTE,110001,NORTE,2814,1276,147.02301773,20544.067956,141396.55499,-11.929,-61.996
Ariquemes,RO,ARIQUEMES,110002,NORTE,3030,2632,68.827438998,72420.770973,68980.229727,-9.913,-63.041
Cabixi,RO,CABIXI,110003,NORTE,580,552,41.59624706,4795.2012787,41487.432914,-13.492,-60.545
Cacoal,RO,CACOAL,110004,NORTE,3638,3238,69.581697672,43551.330434,72628.943601,-11.438,-61.448
Cerejeiras,RO,CEREJEIRAS,110005,NORTE,633,574,118.82616594,11032.465907,81359.758248,-13.189,-60.812
Colorado do Oeste,RO,COLORADODOOESTE,110006,NORTE,984,935,31.547591743,10684.3941,32727.376928,-13.117,-60.542
Corumbiara,RO,CORUMBIARA,110007,NORTE,1065,826,68.099414985,7457.3926119,67781.141424,-12.962,-60.887
Costa Marques,RO,COSTAMARQUES,110008,NORTE,1155,739,108.80642308,13697.961439,97076.892223,-12.445,-64.227
Espigão D'Oeste,RO,ESPIGAODOESTE,110009,NORTE,2151,1622,84.732781347,17353.216742,81949.248251,-11.525,-61.013
Guajará-Mirim,RO,GUAJARAMIRIM,110010,NORTE,1639,182,210.04511225,24197.632073,191444.58023,-10.783,-65.339
Jaru,RO,JARU,110011,NORTE,3352,3139,101.87993945,37666.678037,85445.787208,-10.439,-62.466
Ji-Paraná,RO,JIPARANA,110012,NORTE,3025,2231,138.11750975,38106.667499,117001.59486,-10.882,-61.944
Machadinho D'Oeste,RO,MACHADINHODOESTE,110013,NORTE,3650,3130,101.54349284,31621.865214,93091.165684,-9.444,-61.981
Nova Brasilândia D'Oeste,RO,NOVABRASILANDIADOESTE,110014,NORTE,2394,1737,63.570257718,18818.983556,73692.211625,-11.725,-62.331
Ouro Preto do Oeste,RO,OUROPRETODOOESTE,110015,NORTE,2040,1985,76.155616186,24633.081078,60308.149738,-10.716,-62.248
Pimenta Bueno,RO,PIMENTABUENO,110018,NORTE,916,702,116.67475142,17812.907758,90063.683992,-11.673,-61.193
Porto Velho,RO,PORTOVELHO,110020,NORTE,9997,4213,339.54721343,244631.73626,297599.77602,-8.762,-63.904
Presidente Médici,RO,PRESIDENTEMEDICI,110025,NORTE,1816,1262,36.195233698,14236.347394,57587.285703,-11.176,-61.901
Rio Crespo,RO,RIOCRESPO,110026,NORTE,510,474,56.080074939,4924.3071133,50261.158877,-9.705,-62.9
Rolim de Moura,RO,ROLIMDEMOURA,110028,NORTE,1746,1679,33.1102097,23903.517916,35341.665536,-11.733,-61.778
Santa Luzia D'Oeste,RO,SANTALUZIADOESTE,110029,NORTE,947,824,59.614764749,6062.7987401,57345.180916,-11.902,-61.779
Vilhena,RO,VILHENA,110030,NORTE,848,558,197.59494071,43713.191249,140052.80741,-12.741,-60.146
São Miguel do Guaporé,RO,SAOMIGUELDOGUAPORE,110032,NORTE,2585,2530,127.48955823,22796.779809,92239.12905,-11.681,-62.684
Nova Mamoré,RO,NOVAMAMORE,110033,NORTE,2684,972,183.73085235,20809.269084,167084.13171,-10.411,-65.331
Alvorada D'Oeste,RO,ALVORADADOESTE,110034,NORTE,2034,1433,95.101053616,17609.738252,90262.102497,-11.408,-62.389
Alto Alegre dos Parecis,RO,ALTOALEGREDOPARECIS,110037,NORTE,1572,1313,126.75381791,15993.616734,95750.713708,-12.128,-61.851
Alto Paraíso,RO,ALTOPARAISO,110040,NORTE,1866,964,59.376484482,17458.106938,82446.910999,-9.713,-63.321
Buritis,RO,BURITIS,110045,NORTE,2849,998,68.939346928,30247.421161,104842.97331,-10.212,-63.829
Novo Horizonte do Oeste,RO,NOVOHORIZONTEDOOESTE,110050,NORTE,1218,911,26.384270648,9268.4378254,46326.358738,-11.71,-62
Cacaulândia,RO,CACAULANDIA,110060,NORTE,801,695,40.274029412,7348.7966126,44276.503579,-10.34,-62.896
Campo Novo de Rondônia,RO,CAMPONOVODERONDONIA,110070,NORTE,1429,1115,76.01408947,14575.204566,70871.426616,-10.571,-63.627
Candeias do Jamari,RO,CANDEIASDOJAMARI,110080,NORTE,1081,558,109.24404928,14720.47774,105128.37526,-8.791,-63.701
Castanheiras,RO,CASTANHEIRAS,110090,NORTE,598,567,40.535665692,5944.7604125,39125.159344,-11.427,-61.95
Chupinguaia,RO,CHUPINGUAIA,110092,NORTE,894,605,58.897139711,9457.7208052,66867.70074,-12.552,-60.9
Cujubim,RO,CUJUBIM,110094,NORTE,1021,978,72.881261394,13929.864901,54122.546163,-9.363,-62.585
Governador Jorge Teixeira,RO,GOVERNADORJORGETEIXEIRA,110100,NORTE,1819,1165,106.52930784,14976.514,100064.46027,-10.61,-62.737
Itapuã do Oeste,RO,JAMARI,110110,NORTE,837,760,66.752028038,10245.703862,54299.247863,-9.205,-63.18
Ministro Andreazza,RO,MINISTROANDREAZZA,110120,NORTE,1347,1335,28.845177531,13355.409613,29921.027392,-11.196,-61.517
Mirante da Serra,RO,MIRANTEDASERRA,110130,NORTE,1382,1126,57.101229059,12629.628584,58261.573032,-11.03,-62.675
Monte Negro,RO,MONTENEGRO,110140,NORTE,1935,1864,43.254480476,18368.085923,42816.320949,-10.246,-63.29
Nova União,RO,NOVAUNIAO,110143,NORTE,1377,1027,22.84502005,11282.054951,44599.12814,-10.904,-62.561
Parecis,RO,PARECIS,110145,NORTE,498,367,57.563917994,5494.6456247,63253.581202,-12.175,-61.603
Pimenteiras do Oeste,RO,PIMENTEIRASDOOESTE,110146,NORTE,149,128,126.20713448,3894.2729846,94242.155761,-13.483,-61.047
Primavera de Rondônia,RO,PRIMAVERADERONDONIA,110147,NORTE,489,443,30.489309954,4751.1755959,38004.72231,-11.828,-61.321
São Felipe D'Oeste,RO,SAOFELIPEDOESTE,110148,NORTE,785,751,22.346681304,6709.7888361,28763.614776,-11.903,-61.502
São Francisco do Guaporé,RO,SAOFRANCISCODOGUAPORE,110149,NORTE,1666,1539,149.82031567,17259.532685,102748.87372,-12.062,-63.569
Seringueiras,RO,SERINGUEIRAS,110150,NORTE,1977,1884,73.134136563,16110.857893,60740.992244,-11.798,-63.031
Teixeirópolis,RO,TEIXEIROPOLIS,110155,NORTE,822,771,29.299651399,6726.1973887,34144.987648,-10.918,-62.249
Theobroma,RO,THEOBROMA,110160,NORTE,2075,1935,54.753953331,15734.95975,52768.613801,-10.244,-62.355
Urupá,RO,URUPA,110170,NORTE,1501,880,34.324934175,15654.920571,61575.944205,-11.125,-62.376
Vale do Anari,RO,VALEDOANARI,110175,NORTE,1363,1239,87.287857078,11798.47505,68549.574388,-9.863,-62.186
Vale do Paraíso,RO,VALEDOPARAISO,110180,NORTE,1315,1079,45.983605574,11726.561941,51577.330593,-10.449,-62.134
Acrelândia,AC,ACRELANDIA,120001,NORTE,1790,1483,46.65443194,10952.880615,55021.945171,-9.828,-66.883
